id,name,lat,long,street
1707,Os. Na Skarpie 02,50.069704,20.046218,al. Jana Pawła II
1708,Smolki 01,50.041496,19.943119,Kalwaryjska
1709,Rondo Matecznego 01,50.036959,19.940795,Kalwaryjska
1710,Rzemieślnicza 01,50.033644,19.938697,Wadowicka
1711,Łagiewniki 01,50.030477,19.936964,Wadowicka
1712,Łagiewniki 02,50.030486,19.937053,Wadowicka
1713,Rzemieślnicza 02,50.03295,19.938389,Wadowicka
1714,Rondo Matecznego 02,50.035927,19.940363,Wadowicka
1715,Smolki 02,50.041629,19.943262,Kalwaryjska
1716,Korona 01,50.043604,19.946683,Kalwaryjska
1717,Poczta Główna 03,50.059339,19.941821,Św. Gertrudy
1718,Plac Centralny im. R.Reagana 04,50.071283,20.038494,al. Jana Pawła II
1719,Os. Na Skarpie 01,50.069813,20.045465,al. Jana Pawła II
1720,Klasztorna 01,50.068607,20.052165,al. Jana Pawła II
1721,Suche Stawy 01,50.067467,20.060033,Ptaszyckiego
1722,Bardosa 01,50.067743,20.064949,Ptaszyckiego
1723,Fort Mogiła 01,50.066659,20.070794,Igołomska
1724,Brama nr 4 01,50.064955,20.074756,Igołomska
1725,Giedroycia 01,50.06462,20.08447,Igołomska
1726,Brama nr 5 01,50.069176,20.09178,Igołomska
1727,Meksyk 01,50.069815,20.09469,Igołomska
1728,Koksochemia 01,50.071926,20.104695,Igołomska
1729,Elektromontaż 02,50.087727,20.064095,Łowińskiego
1730,Grodzki Urząd Pracy 02,50.0874,20.0597,Łowińskiego
1731,Grodzki Urząd Pracy 01,50.0873,20.0596,Łowińskiego
1732,Miśnieńska 02,50.094406,20.000154,Jancarza
1733,Os. Złotego Wieku 02,50.093667,20.004478,Jancarza
1734,Rondo Piastowskie 02,50.094355,20.011302,Srebrnych Orłów
1735,Rondo Piastowskie 01,50.094372,20.011221,Srebrnych Orłów
1736,Os. Złotego Wieku 01,50.093749,20.004333,Jancarza
1737,Luborzyca Szkoła,50.143976944,20.10837,Luborzyca ul. św. Królowej Jadwigi
1738,Luborzyca,50.146426111,20.109266111,Wysiołek Luborzycki
1739,Wola Luborzycka Działki,50.154678611,20.115788888,Wola Luborzycka
1740,Wola Luborzycka Skrzyżowanie,50.160360277,20.117043333,Wola Luborzycka
1741,Wola Luborzycka Las,50.164554444,20.119128611,Wola Luborzycka
1742,Goszyce Pod Lasem,50.171495,20.125273055,Goszyce ul. Kościuszki
1743,Goszyce Remiza,50.179256666,20.132651666,Goszyce ul. Kościuszki
1744,Skrzeszowice OSP Boisko,50.188729444,20.144854444,Skrzeszowice ul. Krakowska
1745,Łososkowice Szkoła,50.190568055,20.156543333,Łososkowice
1746,Łososkowice Remiza,50.1876875,20.160179444,Łososkowice
1747,Wysiołek Luborzycki Skrzyżowanie,50.1518025,20.105112222,Wysiołek Luborzycki ul. Krakowska
1748,Wysiołek Luborzycki Kapkazy,50.154876944,20.099774444,Wysiołek Luborzycki ul. Krakowska
1749,Łuczyce Las,50.159234444,20.092256666,Łuczyce ul. Krakowska
1750,Łuczyce Kosynierów,50.160359166,20.084675,Łuczyce ul. Krakowska
1751,Łuczyce Zjawienie,50.164681666,20.075208055,Łuczyce ul. Krakowska
1752,Łuczyce Zwierzyniec,50.170098888,20.069213055,Łuczyce ul. Sadowa
1753,Sadowie Wiadukt,50.176051111,20.066724166,Sadowie ul. Centralna
1754,Goszcza Cmentarz,50.1821425,20.068641944,Sadowie ul. Szkolna
1755,Goszcza Dworek,50.1868,20.0699,Goszcza ul. Langiewicza
1756,Goszcza Kościół,50.184876666,20.073835833,Goszcza ul. Langiewicza
1760,Os. Kurdwanów 02,50.004407777,19.960347222,Stojałowskiego
1761,Stojałowskiego 01,50.005258055,19.954741111,Stojałowskiego
1762,Halszki 01,50.005631111,19.949589166,Stojałowskiego
1763,Kurdwanów P+R 04,50.014786944,19.950199722,Beskidzka
1764,Beskidzka 02,50.01837,19.951585555,Beskidzka
1765,Pszenna 01,50.020203611,19.956447777,Klonowica
1766,Zajezdnia Wola Duchacka 03,50.024250833,19.960538055,Sławka
1767,Sławka 01,50.026469722,19.959794722,Sławka
1768,Stoczniowców 01,50.049677222,19.983405,Nowohucka
1769,Koszykarska 01,50.052572222,19.989904166,Nowohucka
1770,Arctowskiego 01,50.056984722,20.001714444,Nowohucka
1771,Centralna 01,50.064047222,20.004055555,Nowohucka
1772,Bulwarowa Ogródki Działkowe 01,50.071160555,20.053534166,Bulwarowa
1775,Centralna 02,50.063087222,20.003533611,Nowohucka
1776,Arctowskiego 02,50.056461666,20.000383611,Nowohucka
1777,Koszykarska 02,50.052494166,19.988930833,Nowohucka
1778,Podgórze SKA 05,50.042475555,19.962435555,Powstanców Wielkopolskich
1779,Sławka 02,50.025699444,19.960035277,Sławka
1780,Pszenna 02,50.0202725,19.955678611,Klonowica
1781,Beskidzka 01,50.018673611,19.951652777,Beskidzka
1782,Halszki 02,50.005513611,19.948951666,Stojałowskiego
1783,Stojałowskiego 02,50.005038055,19.956045555,Stojałowskiego
1784,Lubocza Szkoła 04,50.095710555,20.093715,Łuczanowicka
1785,Grzegorza z Sanoka 02,50.098109166,20.092693611,Łuczanowicka
1786,Łuczanowicka 02,50.100580277,20.096363333,Łuczanowicka
1787,Orłowskiego 02,50.107838333,20.106910833,Łuczanowicka
1788,Orłowskiego 01,50.108136944,20.107768333,Łuczanowicka
1789,Łuczanowicka 01,50.101436111,20.098001944,Łuczanowicka
1790,Grzegorza z Sanoka 01,50.098491666,20.092481944,Łuczanowicka
1791,Os. Przewóz 02,50.043338333,19.993233333, 
1792,Myśliwska 01,50.0450525,19.997808055,Myśliwska
1793,Lasówka 01,50.0495225,19.996164166,Koszykarska
1794,Arctowskiego 04,50.056347222,20.0013725,Ciepłownicza
1795,Galicyjska 01,50.058664166,20.007613055,Galicyjska
1796,ZDMK 01,50.063703888,20.0089525,Centralna
1797,Sołtysowska 04,50.065443055,20.010319722,Centralna
1798,ZDMK 02,50.063771944,20.008339166,Centralna
1799,Galicyjska 02,50.0581,20.0065,Galicyjska
1800,Koszykarska 03,50.051711666,19.99006,Koszykarska
1801,Lasówka 02,50.049224722,19.996503055,Koszykarska
1802,Myśliwska 02,50.045171666,19.996701666,Myśliwska
1803,Os. Przewóz 01,50.042746944,19.992991111, 
1804,Szpital Okulistyczny 02,50.099430833,20.064068888,Osieckiego
1805,Krasnowolskiego 02,50.085298888,20.049221944,Wańkowicza
1806,PCK 02,50.083938055,20.054630277,Wańkowicza
1807,Krzesławice Młyn 02,50.080528611,20.056791111,Wańkowicza
1808,Fort Mogiła 04,50.0651075,20.070494722,Ptaszyckiego
1809,Giedroycia 06,50.062303611,20.081586666,Giedroycia
1810,Giedroycia ZTPO 02,50.059355277,20.078391111,Giedroycia
1811,Kępa 02,50.055700555,20.065996388,Podbipięty
1812,Zakarnie 02,50.053038611,20.062456944,Podbipięty
1813,Zakarnie 01,50.052986388,20.061945833,Podbipięty
1814,Kępa 01,50.055257777,20.0657125,Podbipięty
